id,Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,opening_weekend_Gross,genres
tt0073195,Jaws,https://www.imdb.com/title/tt0073195,1975,2h 4m,PG,8.1,683K,7000000.0,477220580.0,7061513.0,"['Monster Horror', 'Sea Adventure', 'Survival', 'Adventure', 'Drama', 'Horror', 'Thriller']"
tt0073629,The Rocky Horror Picture Show,https://www.imdb.com/title/tt0073629,1975,1h 40m,R,7.4,173K,1200000.0,115798478.0,,"['Dark Comedy', 'Raunchy Comedy', 'Rock Musical', 'Supernatural Horror', 'Comedy', 'Horror', 'Musical']"
tt0073486,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486,1975,2h 13m,R,8.7,1.1M,3000000.0,109115366.0,,"['Medical Drama', 'Psychological Drama', 'Drama']"
tt0072890,Dog Day Afternoon,https://www.imdb.com/title/tt0072890,1975,2h 5m,R,8.0,279K,1800000.0,50002721.0,,"['Heist', 'True Crime', 'Biography', 'Crime', 'Drama', 'Thriller']"
tt0073692,Shampoo,https://www.imdb.com/title/tt0073692,1975,1h 50m,R,6.4,15K,4000000.0,49407734.0,,"['Satire', 'Comedy', 'Drama']"
tt0072081,The Return of the Pink Panther,https://www.imdb.com/title/tt0072081,1975,1h 53m,G,7.0,31K,5000000.0,41833423.0,,"['Farce', 'Slapstick', 'Comedy', 'Crime', 'Mystery']"
tt0073026,Funny Lady,https://www.imdb.com/title/tt0073026,1975,2h 16m,PG,6.2,6.1K,,39000000.0,,"['Biography', 'Comedy', 'Drama', 'Musical', 'Romance']"
tt0072653,The Apple Dumpling Gang,https://www.imdb.com/title/tt0072653,1975,1h 40m,G,6.4,6.7K,,36853000.0,,"['Slapstick', 'Comedy', 'Family', 'Western']"
tt0073812,Tommy,https://www.imdb.com/title/tt0073812,1975,1h 51m,PG,6.6,23K,5000000.0,34279846.0,,"['Jukebox Musical', 'Rock Musical', 'Drama', 'Musical']"
tt0073802,Three Days of the Condor,https://www.imdb.com/title/tt0073802,1975,1h 57m,R,7.4,65K,20000000.0,27476252.0,,"['Political Thriller', 'Spy', 'Crime', 'Mystery', 'Thriller']"
tt0073317,Lucky Lady,https://www.imdb.com/title/tt0073317,1975,1h 58m,PG,5.2,1.4K,13000000.0,24441725.0,,"['Slapstick', 'Comedy', 'Crime', 'Drama']"
tt0073075,The Great Waldo Pepper,https://www.imdb.com/title/tt0073075,1975,1h 47m,PG,6.7,6.8K,5000000.0,20642922.0,,"['Adventure', 'Drama']"
tt0073312,Love and Death,https://www.imdb.com/title/tt0073312,1975,1h 25m,PG,7.6,42K,3000000.0,20123742.0,,"['Parody', 'Slapstick', 'Comedy', 'War']"
tt0072951,Escape to Witch Mountain,https://www.imdb.com/title/tt0072951,1975,1h 37m,G,6.3,12K,,20000000.0,,"['Adventure', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi']"
tt0073190,Once Is Not Enough,https://www.imdb.com/title/tt0073190,1975,2h 1m,R,4.6,938,,15700729.0,,"['Drama', 'Romance']"
tt0072926,The Eiger Sanction,https://www.imdb.com/title/tt0072926,1975,2h 9m,R,6.4,23K,9000000.0,14200000.0,,"['Action', 'Crime', 'Thriller']"
tt0073018,French Connection II,https://www.imdb.com/title/tt0073018,1975,1h 59m,R,6.7,22K,4340000.0,12484444.0,,"['Action', 'Crime', 'Drama', 'Thriller']"
tt0073053,"Give 'em Hell, Harry!",https://www.imdb.com/title/tt0073053,1975,1h 44m,PG,7.3,596,230000.0,11000000.0,,"['Biography', 'Comedy', 'Drama']"
tt0073440,Nashville,https://www.imdb.com/title/tt0073440,1975,2h 40m,R,7.6,29K,2200000.0,9994006.0,,"['Satire', 'Tragedy', 'Comedy', 'Drama', 'Music']"
